source,bias
Hard Dawn (harddawn.com),satire
Headline News Network (headlinennews.com),satire
Hillary Beat Trump (www.hillarybeattrump.org),satire
Huzlers (huzlers.com),satire
IMAO (In My Arrogant Opinion) (https://www.imao.us),satire
Internet Chronicle (chronicle.su),satire
Ladies of Liberty (ladiesofliberty.net),satire
Lark News (www.larknews.com),satire
Liberal Bias Press (liberalbias.com),satire
Liberal Darkness (liberaldarkness.com),satire
National Report (nationalreport.net),satire
Nevada County Scooper (www.ncscooper.com),satire
New Roman Times (newromantimes.com),satire
News biscuit (www.newsbiscuit.com),satire
News Mutiny (newsmutiny.com),satire
News Thump (newsthump.com),satire
Newslo (politicops.com),satire
Not Allowed to (notallowedto.com),satire
Nottnews (nottnews.com),satire
Now8News (now8news.com),satire
NPC Daily (npcdaily.com),satire
Observer Online (observeronline.news),satire
Our Land of the Free (ourlandofthefree.com),satire
Politicer (politicer.com),satire
Pretty Cool Site (PCS) (prettycoolsite.com),satire
Private Eye (www.private-eye.co.uk),satire
Reagan Was Right (reaganwasright.com),satire
Real News Right Now (realnewsrightnow.com),satire
Reductress (reductress.com),satire
Rile News,satire
Rock City Times (www.rockcitytimes.com),satire
Satira Tribune (www.satiratribune.com),satire
Satire V (www.satirev.org),satire
Schmedium (schmedium.org),satire
Scorched Earth News (scorchedearthnews.com),satire
Shu+ (shu.plus),satire
Southend News Network (southendnewsnetwork.net),satire
"Sports Pickle (sportspickle.com(function(w,d,s,i))",satire
St. George Gazette (stgeorgegazette.com),satire
Stilton's Place (stiltonsplace.blogspot.com),satire
Stubhill News (stubhillnews.com),satire
Stuppid (stuppid.com),satire
Sunday Sport (www.sundaysportonline.co.uk),satire
Sungress,satire
That's Pretty Good Science (thatsprettygoodscience.com),satire
The Atlanta Banana (www.atlbanana.com),satire
The Awaze Trubune (awazetribune.com),satire
The Beaverton (www.thebeaverton.com),satire
The Betoota Advocate (www.betootaadvocate.com),satire
The Chaser (chaser.com.au),satire
The Daily Discord (www.dailydiscord.com),satire
The Daily Mash (www.thedailymash.co.uk),satire
The Daily Mire (thedailymire.com),satire
The Daily News UK (www.the-daily-news.co.uk),satire
The Dandy Goat (dandygoat.com),satire
The Halfway Post (halfwaypost.com),satire
The Hard Times (thehardtimes.net),satire
The Lapine (thelapine.ca),satire
The News Nerd (www.thenewsnerd.com),satire
The Onion (www.theonion.com),satire
The Out and Abouter (outabouter.com),satire
The People's Cube (thepeoplescube.com),satire
The Politcal Garbage Chute (www.politicalgarbagechute.com),satire
The Postillion (www.the-postillon.com),satire
The Racket Report (theracketreport.com),satire
The Red Shtick (theredshtick.com),satire
The Resistance: The Last Line of Defense (thelastlineofdefense.org),satire
The Science Post (thesciencepost.com),satire
The Seattle Tribune (theseattletribune.com),satire
The Shovel (www.theshovel.com.au),satire
The Spoof (www.thespoof.com),satire
The Times (times.com.mx),satire
The Underground Report (undergroundnewsreport.com),satire
The Unreal Times (www.theunrealtimes.com),satire
There is News (https://thereisnews.com),satire
TittleTattle365 (tittletattle365.com),satire
Truth Bang (truthbang.net),satire
Truthbrary (www.truthbrary.org),satire
USPOLN (uspoln.com),satire
Viral Actions,satire
Viral Cords (viralcords.com),satire
Viral Devil,satire
Waterford Whispers News (waterfordwhispersnews.com),satire
Woken News Network (https://wokennews.com),satire
World News Daily (worldnewsdailyreport.com),satire
Wyoming Institute of Technology (witscience.org),satire
